"","x"
"1","Cordilleran drift mbr"
"2","Nuwok mbr"
"3","Four-mile Village mbr"
"4","Jackson Fork mbr"
"5","Camels Head mbr"
"6","Mud Hills mbr"
"7","Cobham Bay mbr"
"8","Malaga Mudstone mbr"
"9","Wind Caves mbr"
"10","Sycamore Canyon mbr"
"11","Amphistegina Shale mbr"
"12","Lycium mbr"
"13","Fish Creek Gypsum mbr"
"14","Coos Conglomerate mbr"
"15","Macoma Claystone mbr"
"16","Yorba mbr"
"17","Soquel mbr"
"18","Antelope Shale mbr"
"19","McLure mbr"
"20","Elk Hills Shale mbr"
"21","Escambia Sand mbr"
"22","Ortona Sand mbr"
"23","Hames mbr"
"24","Stevens Sandstone mbr"
"25","Canyon Del Rey Diatomite mbr"
"26","McDonald Shale mbr"
"27","Hercules Shale mbr"
"28","La Vida mbr"
"29","Ebenezer mbr"
"30","Devilwater Shale mbr"
"31","Screven mbr"
"32","Berryville Clay mbr"
"33","Los Laureles Sandstone mbr"
"34","Whiterock Bluff Shale mbr"
"35","Frenchman Springs mbr"
"36","Sandholdt mbr"
"37","Sandholdt Shale mbr"
"38","Round Mountain Silt mbr"
"39","Meigs mbr"
"40","Tybee Phosphorite mbr"
"41","Gould Shale mbr"
"42","Saltos Shale mbr"
"43","Los Tularcitos mbr"
"44","Buttonbed Sandstone mbr"
"45","Robinson Canyon mbr"
"46","Media Shale mbr"
"47","Grenloch Sand mbr"
"48","Carneros Sandstone mbr"
"49","Sopchoppy mbr"
"50","Painted Rock Sandstone mbr"
"51","Santos Shale mbr"
"52","Burls Creek mbr"
"53","Abbeville mbr"
"54","Porters Landing mbr"
"55","Alloway Clay mbr"
"56","Heterostegina Limestone mbr"
"57","Heterostegina mbr"
"58","Tuffaceous Siltstone mbr"
"59","Hackberry mbr"
"60","Nocatee mbr"
"61","Cymric Shale mbr"
"62","Salt Creek Shale mbr"
"63","Shuteston mbr"
"64","Bucatunna Clay mbr"
"65","Wygal Sandstone mbr"
"66","Third Beach mbr"
"67","Shubuta mbr"
"68","Klachopis Point mbr"
"69","Sandersville Limestone mbr"
"70","Parkers Ferry mbr"
"71","Basin Creek mbr"
"72","Pachuta Marl mbr"
"73","Two Bar Shale mbr"
"74","Irwinton Sand mbr"
"75","Dtokoah Point mbr"
"76","Cocoa Sand mbr"
"77","North Twistwood Creek mbr"
"78","Baada Point mbr"
"79","Welcome Shale mbr"
"80","Sidney Flat Shale mbr"
"81","Creola mbr"
"82","Shipps Creek Shale mbr"
"83","Gordon Creek Shale mbr"
"84","Potterchitto mbr"
"85","Point of Rocks Sandstone mbr"
"86","Archusa Marl mbr"
